kind,target_photon_ev,pgamma_gamma_p_threshold,bh_gamma_p_threshold,gamma_gamma_partner_ev,normalized_n_epsilon
survival,6.70631607e-02,9.35136136e-01,9.67205597e-01,,
survival,7.06830154e-02,9.31757198e-01,9.65476665e-01,,
survival,7.44982582e-02,9.28209091e-01,9.63658895e-01,,
survival,7.85194356e-02,9.24484092e-01,9.61747975e-01,,
survival,8.27576632e-02,9.20574209e-01,9.59739409e-01,,
survival,8.72246568e-02,9.16471181e-01,9.57628520e-01,,
survival,9.19327644e-02,9.12166478e-01,9.55410435e-01,,
survival,9.68950006e-02,9.07651304e-01,9.53080091e-01,,
survival,1.02125082e-01,9.02916606e-01,9.50632226e-01,,
survival,1.07637467e-01,8.97953075e-01,9.48061375e-01,,
survival,1.13447393e-01,8.92751160e-01,9.45361872e-01,,
survival,1.19570920e-01,8.87301078e-01,9.42527847e-01,,
survival,1.26024975e-01,8.81592828e-01,9.39553222e-01,,
survival,1.32827400e-01,8.75616211e-01,9.36431712e-01,,
survival,1.39996997e-01,8.69360846e-01,9.33156830e-01,,
survival,1.47553587e-01,8.62816201e-01,9.29721882e-01,,
survival,1.55518057e-01,8.55971620e-01,9.26119978e-01,,
survival,1.63912424e-01,8.48816355e-01,9.22344028e-01,,
survival,1.72759891e-01,8.41339603e-01,9.18386758e-01,,
survival,1.82084917e-01,8.33530556e-01,9.14240708e-01,,
survival,1.91913278e-01,8.25378444e-01,9.09898252e-01,,
survival,2.02272142e-01,8.16872593e-01,9.05351601e-01,,
survival,2.13190144e-01,8.08002486e-01,9.00592826e-01,,
survival,2.24697465e-01,7.98757834e-01,8.95613867e-01,,
survival,2.36825915e-01,7.89128652e-01,8.90406561e-01,,
survival,2.49609019e-01,7.79105339e-01,8.84962659e-01,,
survival,2.63082115e-01,7.68678775e-01,8.79273855e-01,,
survival,2.77282445e-01,7.57840419e-01,8.73331817e-01,,
survival,2.92249263e-01,7.46582417e-01,8.67128218e-01,,
survival,3.08023942e-01,7.34897723e-01,8.60654777e-01,,
survival,3.24650088e-01,7.22780219e-01,8.53903299e-01,,
survival,3.42173660e-01,7.10224856e-01,8.46865722e-01,,
survival,3.60643098e-01,6.97227796e-01,8.39534170e-01,,
survival,3.80109458e-01,6.83786559e-01,8.31901007e-01,,
survival,4.00626549e-01,6.69900189e-01,8.23958900e-01,,
survival,4.22251087e-01,6.55569414e-01,8.15700887e-01,,
survival,4.45042848e-01,6.40796818e-01,8.07120445e-01,,
survival,4.69064836e-01,6.25587021e-01,7.98211569e-01,,
survival,4.94383454e-01,6.09946852e-01,7.88968857e-01,,
survival,5.21068689e-01,5.93885530e-01,7.79387591e-01,,
survival,5.49194308e-01,5.77414842e-01,7.69463835e-01,,
survival,5.78838058e-01,5.60549314e-01,7.59194528e-01,,
survival,6.10081882e-01,5.43306380e-01,7.48577581e-01,,
survival,6.43012148e-01,5.25706531e-01,7.37611988e-01,,
survival,6.77719885e-01,5.07773455e-01,7.26297923e-01,,
survival,7.14301034e-01,4.89534160e-01,7.14636849e-01,,
survival,7.52856716e-01,4.71019061e-01,7.02631626e-01,,
survival,7.93493510e-01,4.52262050e-01,6.90286616e-01,,
survival,8.36323748e-01,4.33300521e-01,6.77607781e-01,,
survival,8.81465826e-01,4.14175358e-01,6.64602785e-01,,
survival,9.29044528e-01,3.94930876e-01,6.51281081e-01,,
survival,9.79191376e-01,3.75614707e-01,6.37653995e-01,,
survival,1.03204499e+00,3.56277631e-01,6.23734794e-01,,
survival,1.08775147e+00,3.36973336e-01,6.09538741e-01,,
survival,1.14646481e+00,3.17758120e-01,5.95083138e-01,,
survival,1.20834731e+00,2.98690514e-01,5.80387343e-01,,
survival,1.27357003e+00,2.79830832e-01,5.65472766e-01,,
survival,1.34231326e+00,2.61240651e-01,5.50362847e-01,,
survival,1.41476703e+00,2.42982214e-01,5.35082998e-01,,
survival,1.49113163e+00,2.25117762e-01,5.19660521e-01,,
survival,1.57161814e+00,2.07708809e-01,5.04124490e-01,,
survival,1.65644905e+00,1.90815354e-01,4.88505605e-01,,
survival,1.74585886e+00,1.74495057e-01,4.72836012e-01,,
survival,1.84009473e+00,1.58802381e-01,4.57149082e-01,,
survival,1.93941716e+00,1.43787731e-01,4.41479166e-01,,
survival,2.04410068e+00,1.29496596e-01,4.25861315e-01,,
survival,2.15443469e+00,1.15968730e-01,4.10330967e-01,,
survival,2.27072417e+00,1.03237391e-01,3.94923619e-01,,
survival,2.39329059e+00,9.13286634e-02,3.79674470e-01,,
survival,2.52247275e+00,8.02608957e-02,3.64618053e-01,,
survival,2.65862775e+00,7.00442738e-02,3.49787865e-01,,
survival,2.80213197e+00,6.06805557e-02,3.35215991e-01,,
survival,2.95338208e+00,5.21629881e-02,3.20932743e-01,,
survival,3.11279618e+00,4.44764172e-02,3.06966318e-01,,
survival,3.28081495e+00,3.75976042e-02,2.93342481e-01,,
survival,3.45790283e+00,3.14957447e-02,2.80084289e-01,,
survival,3.64454935e+00,2.61331840e-02,2.67211861e-01,,
survival,3.84127045e+00,2.14663120e-02,2.54742200e-01,,
survival,4.04860993e+00,1.74466098e-02,2.42689073e-01,,
survival,4.26714093e+00,1.40218153e-02,2.31062953e-01,,
survival,4.49746753e+00,1.11371654e-02,2.19871034e-01,,
survival,4.74022642e+00,8.73666778e-03,2.09117296e-01,,
survival,4.99608866e+00,6.76435299e-03,1.98802646e-01,,
survival,5.26576153e+00,5.16545789e-03,1.88925104e-01,,
survival,5.54999047e+00,3.88749429e-03,1.79480039e-01,,
survival,5.84956118e+00,2.88116319e-03,1.70460451e-01,,
survival,6.16530176e+00,2.10108425e-03,1.61857271e-01,,
survival,6.49808500e+00,1.50632103e-03,1.53659683e-01,,
survival,6.84883082e+00,1.06069511e-03,1.45855451e-01,,
survival,7.21850877e+00,7.32894517e-04,1.38431238e-01,,
survival,7.60814076e+00,4.96393918e-04,1.31372912e-01,,
survival,8.01880383e+00,3.29213583e-04,1.24665824e-01,,
survival,8.45163318e+00,2.13551363e-04,1.18295059e-01,,
survival,8.90782527e+00,1.35325812e-04,1.12245654e-01,,
survival,9.38864115e+00,8.36690731e-05,1.06502775e-01,,
survival,9.89540993e+00,5.04055169e-05,1.01051862e-01,,
survival,1.04295325e+01,2.95468783e-05,9.58787421e-02,,
survival,1.09924852e+01,1.68276831e-05,9.09697081e-02,,
survival,1.15858244e+01,9.29694815e-06,8.63115710e-02,,
survival,1.22111901e+01,4.97447828e-06,8.18916928e-02,,
survival,1.28703110e+01,2.57332688e-06,7.76980003e-02,,
survival,1.35650092e+01,1.28466939e-06,7.37189856e-02,,
survival,1.42972049e+01,6.17735844e-07,6.99436980e-02,,
survival,1.50689222e+01,2.85528999e-07,6.63617277e-02,,
survival,1.58822944e+01,1.26592268e-07,6.29631871e-02,,
survival,1.67395698e+01,5.37152019e-08,5.97386886e-02,,
survival,1.76431182e+01,2.17616161e-08,5.66793222e-02,,
survival,1.85954372e+01,8.39661522e-09,5.37766326e-02,,
survival,1.95991593e+01,3.07746600e-09,5.10225965e-02,,
survival,2.06570592e+01,1.06844753e-09,4.84096014e-02,,
survival,2.17720610e+01,3.50359605e-10,4.59304242e-02,,
survival,2.29472472e+01,1.08177559e-10,4.35782119e-02,,
survival,2.41858661e+01,3.13481431e-11,4.13464623e-02,,
survival,2.54913417e+01,8.49671352e-12,3.92290062e-02,,
survival,2.68672827e+01,2.14628505e-12,3.72199903e-02,,
survival,2.83174925e+01,5.03349053e-13,3.53138612e-02,,
survival,2.98459801e+01,1.09157994e-13,3.35053497e-02,,
survival,3.14569705e+01,2.17977314e-14,3.17894567e-02,,
survival,3.31549170e+01,3.99027193e-15,3.01614388e-02,,
survival,3.49445132e+01,6.66485528e-16,2.86167958e-02,,
survival,3.68307062e+01,1.01071230e-16,2.71512579e-02,,
survival,3.88187097e+01,1.38435851e-17,2.57607738e-02,,
survival,4.09140193e+01,1.70320596e-18,2.44414999e-02,,
survival,4.31224271e+01,1.87140540e-19,2.31897894e-02,,
survival,4.54500376e+01,1.82515386e-20,2.20021820e-02,,
survival,4.79032850e+01,1.56988429e-21,2.08753951e-02,,
survival,5.04889509e+01,1.18284329e-22,1.98063137e-02,,
survival,5.32141828e+01,7.75129107e-24,1.87919826e-02,,
survival,5.60865140e+01,4.38466556e-25,1.78295980e-02,,
survival,5.91138844e+01,2.12405724e-26,1.69164996e-02,,
survival,6.23046625e+01,8.73833865e-28,1.60501632e-02,,
survival,6.56676687e+01,3.02617377e-29,1.52281940e-02,,
survival,6.92121991e+01,8.74024995e-31,1.44483200e-02,,
survival,7.29480519e+01,2.08479607e-32,1.37083853e-02,,
survival,7.68855541e+01,4.06469624e-34,1.30063444e-02,,
survival,8.10355901e+01,6.40752596e-36,1.23402569e-02,,
survival,8.54096317e+01,8.07361870e-38,1.17082814e-02,,
survival,9.00197701e+01,8.03360689e-40,1.11086709e-02,,
survival,9.48787490e+01,6.23279524e-42,1.05397680e-02,,
survival,1.00000000e+02,3.72007598e-44,1.00000000e-02,,
