medium,cooling_mode,sigma,t_cross_s,r_cross_cm,global_rs_allowed,pressure_balance_condition_seen,local_fast_condition_seen,actual_rs_started,criteria_agree,contact_radius_cm,reference_crossing_radius_cm,pressure_balance_start_radius_cm,pressure_balance_start_tobs_s,pressure_balance_start_ratio,pressure_balance_start_contact_fraction,fast_wave_crossing_radius_cm,fast_wave_crossing_tobs_s,local_start_radius_cm,local_start_tobs_s,actual_start_radius_cm,actual_start_tobs_s,actual_start_pressure_ratio,actual_start_contact_fraction,ordered_B_cross_G,max_B3_G,max_gamma34,max_e3_erg_cm3,logjump_B3,logjump_gamma34,logjump_e3,logjump_U3_per_M3,post_U3_per_M3_monotone_decreasing
ism,nakar_y_thomson,0.0,388.3426891674642,1.2775687460548424e+17,True,True,True,True,True,inf,1.2420560305182043e+17,100994708367178.95,0.10481674515154274,inf,1.0,inf,inf,100994708367178.95,0.10481674515154274,101209853155245.66,0.10504146756341784,inf,1.0,0.0,33.00423535423936,66.55863797382055,433.4124433239567,0.13919488787312595,0.03972559423777847,0.278292289309582,0.14741646603948055,True
ism,nakar_y_thomson,0.0001,388.2012143222033,1.2775950366499638e+17,True,True,True,True,True,3.3391071300170043e+19,1.2419939323740005e+17,178539928349756.97,0.1812047855703643,1.209002762171667,5.347053838295453e-06,inf,inf,100999972532466.27,0.10481674515154274,178539928349756.97,0.1812047855703643,1.209002762171667,5.347053838295453e-06,0.81758798104743,129.68332781069563,66.55535272872774,32.06460125718241,0.1387367321898798,0.03970899543672607,7.539098731328259,7.943423856973457,True
ism,nakar_y_thomson,0.001,387.0121544254131,1.2779993116998166e+17,True,True,True,True,True,1.0333368471065825e+19,1.2414354678861534e+17,533408304668415.94,0.555657520264852,1.0673711170550195,5.162109269406075e-05,inf,inf,100999982289482.89,0.10481674515154274,533408304668415.94,0.555657520264852,1.0673711170550195,5.162109269406075e-05,2.569762932583997,133.34981291819042,66.52344193696501,20.65439059089705,0.13587747035614156,0.039565262508250404,7.939080189793143,9.294520803093441,True
ism,nakar_y_thomson,0.01,376.33811746657466,1.281404624405582e+17,True,True,True,True,True,3.052220014181372e+18,1.2358919426902066e+17,1791137780476245.2,1.8857686820047714,1.1692145661594666,0.0005868427499387278,inf,inf,100999985373206.08,0.10481674515154274,1791137780476245.2,1.8857686820047714,1.1692145661594666,0.0005868427499387278,7.674480942320039,124.21572339839732,66.20385692756982,8.968234084759079,0.14074709540764707,0.03826813103748436,8.31715513800304,10.74155881107649,True
ism,nakar_y_thomson,0.1,304.7453767406491,1.2758042617014253e+17,True,True,True,True,True,7.813199701849275e+17,1.1842539588459894e+17,5477096633761840.0,5.8802479062409825,1.1137784381101739,0.007010144396394966,inf,inf,100999986335242.2,0.10481674515154274,5477096633761840.0,5.8802479062409825,1.1137784381101739,0.007010144396394966,16.754210208523233,115.07067606089191,64.3431220495222,1.633103696330692,0.13473068760276385,0.03602612437538655,8.293358500360482,11.715071010611606,True
ism,nakar_y_thomson,1.0,113.51284549044541,9.290439707587253e+16,True,True,True,True,True,1.3970036475086232e+17,8.782662417930677e+16,1.1956010001557974e+16,12.75601468591563,1.00199500983642,0.08558055165869961,1.4772830013707856e+17,354.35618544615545,100999986607078.95,0.10481674515154274,1.1956010001557974e+16,12.75601468591563,1.00199500983642,0.08558055165869961,22.985350005986742,108.11860451091943,63.84734434870643,0.053964586583987485,0.14432633789622273,0.034048235593155673,0.3511040633554683,0.533916108636781,True
ism,nakar_y_thomson,5.0,35.647595332626146,4.4372573399630664e+16,True,True,True,True,True,3.219044133717019e+16,5.070672511193886e+16,1.7828678137388168e+16,18.828686873559807,1.3650137263766062,0.5537334509588769,3.716823018469972e+16,41.11706077720917,100999986652629.64,0.10481674515154274,1.7828678137388168e+16,18.828686873559807,1.3650137263766062,0.5537334509588769,39.03369649487064,91.32972446442992,68.72717124830616,0.0006383849849813897,0.1677380230555785,0.03257490895810311,5.483762364595647,10.011701805083863,True
ism,nakar_y_thomson,10.0,23.944061343587517,3.1419029474305572e+16,True,True,True,True,True,1.646159013571338e+16,3.744939838024636e+16,1.7977100591124408e+16,18.828686873559807,1.308600572452748,1.0,1.7977100591124408e+16,18.828686873559807,100999986659292.75,0.10481674515154274,1.7977100591124408e+16,18.828686873559807,1.308600572452748,1.0,54.14854738969327,93.07866048293447,71.27287279276788,6.252255223526085e-05,0.1707691920519021,0.03242963357906653,4.561866709684329,9.095929419678125,True
ism,nakar_y_thomson,50.0,14.484423076793407,1.9463354526822428e+16,True,True,True,True,True,3355968381154419.0,1.7392263227815274e+16,1.8078689805229884e+16,18.828686873559807,1.261957945824883,1.0,3860654934504662.0,4.006882093546069,100999986664847.47,0.10481674515154274,1.8078689805229884e+16,18.828686873559807,1.261957945824883,1.0,87.99552051967237,94.70518527667464,75.22154973315996,2.0478818259341325e-07,0.17206810740117562,0.03238899213331031,0.42378941937690406,0.16951919598298026,True
ism,nakar_y_thomson,100.0,13.299880417358072,1.7885737151193942e+16,True,True,True,True,True,1682137693137170.0,1.2358919426902066e+16,1.808608424488417e+16,18.828686873559807,1.2550969741508915,1.0,1817064218744823.8,1.8857686820047714,100999986665555.6,0.10481674515154274,1.808608424488417e+16,18.828686873559807,1.2550969741508915,1.0,95.99972321093342,93.86028592470059,76.01309061621076,1.677217064997213e-08,0.17215698655008893,0.03243199957911613,0.425454701695303,0.17018537511032505,True
