medium,sigma,t_cross_s,r_cross_cm,ordered_B_cross_G,max_B3_G,max_gamma34,max_e3_erg_cm3,logjump_B3,logjump_gamma34,logjump_e3,logjump_U3_per_M3,post_U3_per_M3_monotone_decreasing
ism,0.0,11834.886886632066,9.061742697335346e+17,0.0,1.6583095159968841,5.843368499588176,1.0941507687318621,0.17193131380983273,0.03857651692355113,0.34345298577089434,0.2708140095633489,True
ism,0.0001,11824.399925176447,9.06042724261743e+17,0.08986955287172578,897.5645854793755,5.8433319774904895,0.1377888147013238,0.17006366297044362,0.038575206369817594,0.3432515251746844,0.2864252074619529,True
ism,0.001,11760.129415608966,9.049693640312511e+17,0.2823352980200017,2832.965062802676,5.842939894597119,0.13718463790836846,0.16193096876879287,0.03856840190753663,0.3422929430538555,0.29831581393344564,True
ism,0.01,11358.122657796492,8.95316554194937e+17,0.8421613387309467,8953.258983692016,5.840570761647453,0.1369942650552279,0.15379438552894145,0.038539928976987325,0.33816460660000125,0.29098184891772405,True
ism,0.1,9818.947985315826,8.451877012498976e+17,1.9861564440720905,28307.405246173694,5.831098667092888,0.1369349377966364,0.16080504385115005,0.038470027875244894,0.35825548169369137,0.281802259658523,True
ism,1.0,7989.1330522608905,7.669364391938509e+17,4.4257068728763125,89511.15375174314,5.817148254879762,0.13691817128698378,0.17040609990528127,0.03840537850122461,0.3831389590379488,0.2785376932882073,True
