medium,dimension,solver,threads,repeats,high_level_total_median_s,high_level_total_min_s,high_level_total_max_s,total_low_level_median_s,total_low_level_min_s,total_low_level_max_s,dynamics_median_s,dynamics_min_s,dynamics_max_s,electron_synch_median_s,electron_synch_min_s,electron_synch_max_s,ssc_median_s,ssc_min_s,ssc_max_s,annihilation_median_s,annihilation_min_s,annihilation_max_s,sed_eats_interpolation_median_s,sed_eats_interpolation_min_s,sed_eats_interpolation_max_s,python_middle_layer_median_s,python_middle_layer_min_s,python_middle_layer_max_s
ism,1d,fullhide_1d,1,2,0.540434310000137,0.5291052900001887,0.5517633300000853,0.5136220679999042,0.5079283989998657,0.5193157369999426,0.0014757530000224506,0.001417372000105388,0.0015341339999395132,0.47644941449993894,0.46715720599968336,0.4857416230001945,0.020963582999911523,0.01922411999976248,0.022703046000060567,0.005936736499961626,0.00501978100010092,0.006853691999822331,0.007443085000204519,0.006772820000151114,0.008113350000257924,0.0013534959998651175,0.0011400209996281774,0.0015669710001020576
ism,2d,fullhide_2d,1,2,0.9640569159998904,0.9456297589999849,0.9824840729997959,0.9356067810001605,0.9312808880004013,0.9399326739999196,0.001526430000012624,0.001517232999958651,0.0015356270000665972,0.9016564705000292,0.8954125260002002,0.9079004149998582,0.02044102800005021,0.01833690100011154,0.02254515499998888,0.00454448099981164,0.004366015999949013,0.004722945999674266,0.006143171000076109,0.0057846210002026055,0.006501720999949612,0.0012952005001807265,0.0012800130002688093,0.0013103880000926438
wind,1d,fullhide_1d,1,2,0.6238031144998786,0.6017483669998,0.6458578619999571,0.6571804185000474,0.6394751220000217,0.6748857150000731,0.03569447600011699,0.03515503600010561,0.036233916000128374,0.5877658750000592,0.5686832609999328,0.6068484890001855,0.018867967500000304,0.017420665999907214,0.020315269000093394,0.005971714500219605,0.0052443250001488195,0.00669910400029039,0.007429767500070739,0.006171196999730455,0.008688338000411022,0.0014506179995805724,0.0013723749998462154,0.0015288609993149294
wind,2d,fullhide_2d,1,2,1.081093388499994,1.0782109319998199,1.0839758450001682,1.0753083760000663,1.0643952670002363,1.0862214849998963,0.03586355649986217,0.035018500999740354,0.03670861199998399,1.0101957570000195,0.9971727859997372,1.0232187280003018,0.017144420500017077,0.01610276600013094,0.018186074999903212,0.005328513999984352,0.00526029100001324,0.005396736999955465,0.005647148499747345,0.005503008999767189,0.005791287999727501,0.0011289795004358893,0.0011181899999428424,0.0011397690009289363
