jump_index,jump_radius_cm,jump_width_rel,event_active,start_radius_cm,shock_end_radius_cm,start_tobs_axis_s,shock_end_tobs_axis_s,cooling_tail_shells,cooling_tail_max_B_g,cooling_tail_max_luminosity,cooling_tail_max_log10_B_jump
0,1000000000000000.0,0.1,True,600000000000000.0,999999999999999.9,1.103537309370072,1.8588196050801709,80,0.24747221082087065,2.3396480487220197e+22,0.22646514298444886
1,1e+16,0.1,True,6000000000000000.0,9999999999999998.0,11.428635652572453,22.294184239043176,69,0.156698186941616,1.3555937144574294e+25,0.1806622627818406
2,1e+17,0.1,True,6e+16,8.409460983341258e+16,271.4381837141085,674.9040566390277,54,0.03163411510715953,5.895923353209785e+26,0.12783261268815105
