gamma0,normalized_radius_step,gamma
1.00000000e+06,3.96984925e-01,1.76747491e+04
1.00000000e+06,4.02010050e-01,1.74576717e+04
1.00000000e+06,4.07035176e-01,1.72458619e+04
1.00000000e+06,4.12060302e-01,1.70391301e+04
1.00000000e+06,4.17085427e-01,1.68372959e+04
1.00000000e+06,4.22110553e-01,1.66401873e+04
1.00000000e+06,4.27135678e-01,1.64476403e+04
1.00000000e+06,4.32160804e-01,1.62594983e+04
1.00000000e+06,4.37185930e-01,1.60756119e+04
1.00000000e+06,4.42211055e-01,1.58958383e+04
1.00000000e+06,4.47236181e-01,1.57200411e+04
1.00000000e+06,4.52261307e-01,1.55480897e+04
1.00000000e+06,4.57286432e-01,1.53798593e+04
1.00000000e+06,4.62311558e-01,1.52152305e+04
1.00000000e+06,4.67336683e-01,1.50540888e+04
1.00000000e+06,4.72361809e-01,1.48963246e+04
1.00000000e+06,4.77386935e-01,1.47418327e+04
1.00000000e+06,4.82412060e-01,1.45905125e+04
1.00000000e+06,4.87437186e-01,1.44422672e+04
1.00000000e+06,4.92462312e-01,1.42970041e+04
1.00000000e+06,4.97487437e-01,1.41546340e+04
1.00000000e+06,5.02512563e-01,1.40150715e+04
1.00000000e+06,5.07537688e-01,1.38782342e+04
1.00000000e+06,5.12562814e-01,1.37440431e+04
1.00000000e+06,5.17587940e-01,1.36124222e+04
1.00000000e+06,5.22613065e-01,1.34832983e+04
1.00000000e+06,5.27638191e-01,1.33566011e+04
1.00000000e+06,5.32663317e-01,1.32322628e+04
1.00000000e+06,5.37688442e-01,1.31102181e+04
1.00000000e+06,5.42713568e-01,1.29904041e+04
1.00000000e+06,5.47738693e-01,1.28727602e+04
1.00000000e+06,5.52763819e-01,1.27572280e+04
1.00000000e+06,5.57788945e-01,1.26437512e+04
1.00000000e+06,5.62814070e-01,1.25322753e+04
1.00000000e+06,5.67839196e-01,1.24227480e+04
1.00000000e+06,5.72864322e-01,1.23151185e+04
1.00000000e+06,5.77889447e-01,1.22093380e+04
1.00000000e+06,5.82914573e-01,1.21053592e+04
1.00000000e+06,5.87939698e-01,1.20031365e+04
1.00000000e+06,5.92964824e-01,1.19026258e+04
1.00000000e+06,5.97989950e-01,1.18037843e+04
1.00000000e+06,6.03015075e-01,1.17065710e+04
1.00000000e+06,6.08040201e-01,1.16109458e+04
1.00000000e+06,6.13065327e-01,1.15168702e+04
1.00000000e+06,6.18090452e-01,1.14243068e+04
1.00000000e+06,6.23115578e-01,1.13332194e+04
1.00000000e+06,6.28140704e-01,1.12435731e+04
1.00000000e+06,6.33165829e-01,1.11553338e+04
1.00000000e+06,6.38190955e-01,1.10684688e+04
1.00000000e+06,6.43216080e-01,1.09829461e+04
1.00000000e+06,6.48241206e-01,1.08987349e+04
1.00000000e+06,6.53266332e-01,1.08158052e+04
1.00000000e+06,6.58291457e-01,1.07341281e+04
1.00000000e+06,6.63316583e-01,1.06536753e+04
1.00000000e+06,6.68341709e-01,1.05744195e+04
1.00000000e+06,6.73366834e-01,1.04963342e+04
1.00000000e+06,6.78391960e-01,1.04193937e+04
1.00000000e+06,6.83417085e-01,1.03435730e+04
1.00000000e+06,6.88442211e-01,1.02688477e+04
1.00000000e+06,6.93467337e-01,1.01951944e+04
1.00000000e+06,6.98492462e-01,1.01225902e+04
1.00000000e+06,7.03517588e-01,1.00510127e+04
1.00000000e+06,7.08542714e-01,9.98044034e+03
1.00000000e+06,7.13567839e-01,9.91085213e+03
1.00000000e+06,7.18592965e-01,9.84222761e+03
1.00000000e+06,7.23618090e-01,9.77454688e+03
1.00000000e+06,7.28643216e-01,9.70779062e+03
1.00000000e+06,7.33668342e-01,9.64194002e+03
1.00000000e+06,7.38693467e-01,9.57697676e+03
1.00000000e+06,7.43718593e-01,9.51288303e+03
1.00000000e+06,7.48743719e-01,9.44964148e+03
1.00000000e+06,7.53768844e-01,9.38723525e+03
1.00000000e+06,7.58793970e-01,9.32564787e+03
1.00000000e+06,7.63819095e-01,9.26486335e+03
1.00000000e+06,7.68844221e-01,9.20486609e+03
1.00000000e+06,7.73869347e-01,9.14564088e+03
1.00000000e+06,7.78894472e-01,9.08717293e+03
1.00000000e+06,7.83919598e-01,9.02944780e+03
1.00000000e+06,7.88944724e-01,8.97245142e+03
1.00000000e+06,7.93969849e-01,8.91617008e+03
1.00000000e+06,7.98994975e-01,8.86059041e+03
1.00000000e+06,8.04020101e-01,8.80569937e+03
1.00000000e+06,8.09045226e-01,8.75148423e+03
1.00000000e+06,8.14070352e-01,8.69793260e+03
1.00000000e+06,8.19095477e-01,8.64503236e+03
1.00000000e+06,8.24120603e-01,8.59277171e+03
1.00000000e+06,8.29145729e-01,8.54113910e+03
1.00000000e+06,8.34170854e-01,8.49012330e+03
1.00000000e+06,8.39195980e-01,8.43971330e+03
1.00000000e+06,8.44221106e-01,8.38989839e+03
1.00000000e+06,8.49246231e-01,8.34066809e+03
1.00000000e+06,8.54271357e-01,8.29201217e+03
1.00000000e+06,8.59296482e-01,8.24392063e+03
1.00000000e+06,8.64321608e-01,8.19638371e+03
1.00000000e+06,8.69346734e-01,8.14939187e+03
1.00000000e+06,8.74371859e-01,8.10293579e+03
1.00000000e+06,8.79396985e-01,8.05700636e+03
1.00000000e+06,8.84422111e-01,8.01159467e+03
1.00000000e+06,8.89447236e-01,7.96669202e+03
1.00000000e+06,8.94472362e-01,7.92228990e+03
1.00000000e+06,8.99497487e-01,7.87837998e+03
1.00000000e+06,9.04522613e-01,7.83495413e+03
1.00000000e+06,9.09547739e-01,7.79200439e+03
1.00000000e+06,9.14572864e-01,7.74952296e+03
1.00000000e+06,9.19597990e-01,7.70750223e+03
1.00000000e+06,9.24623116e-01,7.66593474e+03
1.00000000e+06,9.29648241e-01,7.62481321e+03
1.00000000e+06,9.34673367e-01,7.58413049e+03
1.00000000e+06,9.39698492e-01,7.54387960e+03
1.00000000e+06,9.44723618e-01,7.50405370e+03
1.00000000e+06,9.49748744e-01,7.46464609e+03
1.00000000e+06,9.54773869e-01,7.42565021e+03
1.00000000e+06,9.59798995e-01,7.38705965e+03
1.00000000e+06,9.64824121e-01,7.34886813e+03
1.00000000e+06,9.69849246e-01,7.31106947e+03
1.00000000e+06,9.74874372e-01,7.27365766e+03
1.00000000e+06,9.79899497e-01,7.23662679e+03
1.00000000e+06,9.84924623e-01,7.19997106e+03
1.00000000e+06,9.89949749e-01,7.16368480e+03
1.00000000e+06,9.94974874e-01,7.12776246e+03
1.00000000e+06,1.00000000e+00,7.09219858e+03
