Gamma,theta_rad,doppler_delta,delay_over_R_over_c,solid_angle_weight
2.00000000e+02,2.84100418e-01,1.24695087e-01,4.00983118e-02,2.80294044e-01
2.00000000e+02,2.85564854e-01,1.23428426e-01,4.05098134e-02,2.81699475e-01
2.00000000e+02,2.87029289e-01,1.22181095e-01,4.09233728e-02,2.83104302e-01
2.00000000e+02,2.88493724e-01,1.20952704e-01,4.13389889e-02,2.84508521e-01
2.00000000e+02,2.89958159e-01,1.19742872e-01,4.17566610e-02,2.85912131e-01
2.00000000e+02,2.91422594e-01,1.18551225e-01,4.21763882e-02,2.87315127e-01
2.00000000e+02,2.92887029e-01,1.17377403e-01,4.25981695e-02,2.88717508e-01
2.00000000e+02,2.94351464e-01,1.16221051e-01,4.30220040e-02,2.90119269e-01
2.00000000e+02,2.95815900e-01,1.15081823e-01,4.34478909e-02,2.91520408e-01
2.00000000e+02,2.97280335e-01,1.13959385e-01,4.38758292e-02,2.92920921e-01
2.00000000e+02,2.98744770e-01,1.12853407e-01,4.43058180e-02,2.94320807e-01
2.00000000e+02,3.00209205e-01,1.11763569e-01,4.47378563e-02,2.95720061e-01
2.00000000e+02,3.01673640e-01,1.10689559e-01,4.51719433e-02,2.97118682e-01
2.00000000e+02,3.03138075e-01,1.09631072e-01,4.56080781e-02,2.98516665e-01
2.00000000e+02,3.04602510e-01,1.08587810e-01,4.60462596e-02,2.99914007e-01
2.00000000e+02,3.06066946e-01,1.07559483e-01,4.64864870e-02,3.01310707e-01
2.00000000e+02,3.07531381e-01,1.06545806e-01,4.69287593e-02,3.02706760e-01
2.00000000e+02,3.08995816e-01,1.05546504e-01,4.73730755e-02,3.04102165e-01
2.00000000e+02,3.10460251e-01,1.04561305e-01,4.78194348e-02,3.05496917e-01
2.00000000e+02,3.11924686e-01,1.03589945e-01,4.82678361e-02,3.06891014e-01
2.00000000e+02,3.13389121e-01,1.02632167e-01,4.87182784e-02,3.08284452e-01
2.00000000e+02,3.14853556e-01,1.01687719e-01,4.91707609e-02,3.09677230e-01
2.00000000e+02,3.16317992e-01,1.00756353e-01,4.96252825e-02,3.11069343e-01
2.00000000e+02,3.17782427e-01,9.98378308e-02,5.00818423e-02,3.12460790e-01
2.00000000e+02,3.19246862e-01,9.89319161e-02,5.05404393e-02,3.13851566e-01
2.00000000e+02,3.20711297e-01,9.80383794e-02,5.10010725e-02,3.15241669e-01
2.00000000e+02,3.22175732e-01,9.71569965e-02,5.14637410e-02,3.16631097e-01
2.00000000e+02,3.23640167e-01,9.62875479e-02,5.19284436e-02,3.18019845e-01
2.00000000e+02,3.25104603e-01,9.54298191e-02,5.23951795e-02,3.19407911e-01
2.00000000e+02,3.26569038e-01,9.45836005e-02,5.28639476e-02,3.20795292e-01
2.00000000e+02,3.28033473e-01,9.37486870e-02,5.33347470e-02,3.22181985e-01
2.00000000e+02,3.29497908e-01,9.29248783e-02,5.38075765e-02,3.23567987e-01
2.00000000e+02,3.30962343e-01,9.21119783e-02,5.42824353e-02,3.24953296e-01
2.00000000e+02,3.32426778e-01,9.13097952e-02,5.47593222e-02,3.26337907e-01
2.00000000e+02,3.33891213e-01,9.05181416e-02,5.52382364e-02,3.27721818e-01
2.00000000e+02,3.35355649e-01,8.97368340e-02,5.57191766e-02,3.29105027e-01
2.00000000e+02,3.36820084e-01,8.89656929e-02,5.62021419e-02,3.30487530e-01
2.00000000e+02,3.38284519e-01,8.82045427e-02,5.66871314e-02,3.31869324e-01
2.00000000e+02,3.39748954e-01,8.74532117e-02,5.71741438e-02,3.33250407e-01
2.00000000e+02,3.41213389e-01,8.67115316e-02,5.76631782e-02,3.34630775e-01
2.00000000e+02,3.42677824e-01,8.59793379e-02,5.81542336e-02,3.36010425e-01
2.00000000e+02,3.44142259e-01,8.52564696e-02,5.86473088e-02,3.37389354e-01
2.00000000e+02,3.45606695e-01,8.45427689e-02,5.91424029e-02,3.38767560e-01
2.00000000e+02,3.47071130e-01,8.38380816e-02,5.96395147e-02,3.40145040e-01
2.00000000e+02,3.48535565e-01,8.31422565e-02,6.01386432e-02,3.41521790e-01
2.00000000e+02,3.50000000e-01,8.24551456e-02,6.06397874e-02,3.42897807e-01
