case,component,shell_index,turns,high_turns,low_power_frac,peak_gamma,fullhide_seconds,dg_seconds
fs_wind_base,FS,4,9,6,0.4596469609749345,1111.8760770884735,0.667110400000638,1.2711386510000011
fs_ism_two_jumps,FS,8,11,0,0.08360617375366873,40610.185367523096,0.4774928500000897,1.1380244410001978
rs_ism_sigma0,RS,10,4,4,0.0,1.2329289851183136,0.7516465279995828,0.4615415810003469
rs_ism_sigma01,RS,15,2,0,0.2854183094498257,2.6802091777285,0.6896101860002091,0.3667648359996747
rs_wind_sigma0,RS,7,3,0,0.22307026766911814,6.3817158470980635,0.9497004329996344,1.309177181999985
rs_wind_sigma10,RS,9,6,6,0.0,1.1871651119117534,0.89250063199961,1.2343359790002069
