theta_obs_over_theta_c,time_s,frequency_hz,reference,candidate,relative
0.0,749894.2093324559,1e+17,1.7649806739810023e-29,1.766583865952243e-29,0.0009083340089071079
0.0,1000000.0,1e+17,1.1290153116924106e-29,1.1302585079659866e-29,0.0011011332270707275
0.5,1000.0,10000000000.0,3.9689748143219805e-26,4.756704013887946e-26,0.19847170526843794
0.5,1333.521432163324,10000000000.0,4.450346464636544e-26,4.9723876477624707e-26,0.11730349249753558
0.5,1778.2794100389228,10000000000.0,5.075215699637535e-26,5.414856150751671e-26,0.06692138250171165
0.5,2371.373705661655,10000000000.0,5.778389603393242e-26,6.030719497031524e-26,0.043667857475395255
0.5,3162.2776601683795,10000000000.0,6.552823735924233e-26,6.605007267120696e-26,0.007963518217402932
0.5,4216.965034285822,10000000000.0,7.340168191553471e-26,7.055071602071934e-26,-0.03884060719611371
0.5,5623.413251903491,10000000000.0,8.064712802882897e-26,7.66706898998271e-26,-0.04930663033134175
0.5,7498.942093324558,10000000000.0,8.761732015511745e-26,8.147558575142269e-26,-0.0700972637923809
0.5,10000.0,10000000000.0,9.330697709077165e-26,8.604313755618117e-26,-0.07784883575773771
0.5,13335.21432163324,10000000000.0,1.0004416176510568e-25,9.502195317165132e-26,-0.05019991676521851
0.5,17782.794100389227,10000000000.0,1.1381207695804245e-25,1.1129098624061942e-25,-0.022151346191076504
0.5,23713.737056616552,10000000000.0,1.3271410990451522e-25,1.3027754673951933e-25,-0.01835948842778612
0.5,31622.776601683792,10000000000.0,1.5329573136358186e-25,1.4914103065412357e-25,-0.027102520549670772
0.5,42169.65034285822,10000000000.0,1.7262921895461925e-25,1.6959299772965945e-25,-0.01758810729345861
0.5,56234.13251903491,10000000000.0,1.868732843427598e-25,1.8564062791166911e-25,-0.006596215373567027
0.5,74989.42093324558,10000000000.0,1.933200314088308e-25,1.924564492136908e-25,-0.00446711180857251
0.5,100000.0,10000000000.0,1.9279694780947108e-25,1.9314168248099443e-25,0.0017880712088038653
0.5,133352.1432163324,10000000000.0,1.8886434824612212e-25,1.9167497017159704e-25,0.01488169658051186
