theta_obs_over_theta_c,grid,patch_count,cost_reduction,candidate_elapsed_s,reference_elapsed_s,max_abs,p95_abs,median_abs
0.0,15x15,225,0.25,13.84413441000001,38.78567734299999,0.3827731097635838,0.15797894487714498,0.0032547974636317756
0.5,15x15,225,0.25,13.84413441000001,38.78567734299999,0.16609466926243355,0.12793875662058146,0.02652192596760994
1.0,15x15,225,0.25,13.84413441000001,38.78567734299999,0.38650588223670357,0.21425505646851872,0.0176685306211688
1.5,15x15,225,0.25,13.84413441000001,38.78567734299999,0.1403770669504868,0.10886555223812018,0.01966029414032766
2.0,15x15,225,0.25,13.84413441000001,38.78567734299999,0.2347852996125267,0.22205470120428977,0.026951433948447123
all,15x15,225,0.25,13.84413441000001,38.78567734299999,0.38650588223670357,0.16488319431082588,0.017338080908678055
0.0,20x12,240,0.19999999999999996,14.585182018999973,38.78567734299999,7.438494264988549e-15,5.806466418789568e-15,2.4424906541753444e-15
0.5,20x12,240,0.19999999999999996,14.585182018999973,38.78567734299999,0.24852828575324315,0.14099937638236454,0.020193996244794787
1.0,20x12,240,0.19999999999999996,14.585182018999973,38.78567734299999,0.24438596749397545,0.11185000147856883,0.01716531869730853
1.5,20x12,240,0.19999999999999996,14.585182018999973,38.78567734299999,0.6725885321278962,0.5923894802943616,0.04007064232411972
2.0,20x12,240,0.19999999999999996,14.585182018999973,38.78567734299999,0.7276076513291019,0.6616529213566027,0.03312231955906664
all,20x12,240,0.19999999999999996,14.585182018999973,38.78567734299999,0.7276076513291019,0.46400980422761123,0.01628619210538218
0.0,18x15,270,0.09999999999999998,16.637465495000015,38.78567734299999,0.26318633080595344,0.05563557847196583,0.006031681300638692
0.5,18x15,270,0.09999999999999998,16.637465495000015,38.78567734299999,0.2822001148848978,0.1598330500574631,0.014606696459888657
1.0,18x15,270,0.09999999999999998,16.637465495000015,38.78567734299999,0.2743727181497386,0.1500620099723848,0.02880602877049354
1.5,18x15,270,0.09999999999999998,16.637465495000015,38.78567734299999,0.08885717375182467,0.05991081393055636,0.018434303133865182
2.0,18x15,270,0.09999999999999998,16.637465495000015,38.78567734299999,0.23822768478850453,0.2199554512823231,0.01563459037805237
all,18x15,270,0.09999999999999998,16.637465495000015,38.78567734299999,0.2822001148848978,0.14936892213192365,0.014430683984637538
