theta_obs_over_theta_c,max_abs,p95_abs,median_abs
0.0,0.0822974002791782,0.03925421683514696,0.0036393229515485626
0.5,0.19847170526843794,0.1315426206309141,0.01835948842778612
1.0,0.5193027275889404,0.22329064599369197,0.02009139823949957
1.5,0.4961870941165334,0.34009904078591613,0.026683432996641
2.0,0.7748023661963597,0.6921171374535441,0.02532771851848259
