theta_obs_over_theta_c,time_s,frequency_hz,reference,candidate,relative
0.0,1000.0,10000000000.0,4.488285876446736e-26,4.5649700767678566e-26,0.017085409092040704
0.0,1333.521432163324,10000000000.0,5.027821858121781e-26,5.0257996591522375e-26,-0.00040220179366079467
0.0,1778.2794100389228,10000000000.0,5.724257599946407e-26,5.705801134312316e-26,-0.0032242549032497347
0.0,2371.373705661655,10000000000.0,6.512094714128859e-26,6.77152503952027e-26,0.0398382297524853
0.0,3162.2776601683795,10000000000.0,7.394670249754504e-26,7.186355089552085e-26,-0.028170987098354416
0.0,4216.965034285822,10000000000.0,8.286195231014679e-26,8.496632243490579e-26,0.025396096351706587
0.0,5623.413251903491,10000000000.0,9.110481719990866e-26,9.113195186022268e-26,0.00029784001711430363
0.0,7498.942093324558,10000000000.0,9.896961694291477e-26,9.922900293013224e-26,0.0026208648192209694
0.0,10000.0,10000000000.0,1.0516952347344376e-25,1.0611074417520586e-25,0.008949557539830177
0.0,13335.21432163324,10000000000.0,1.1219823446582988e-25,1.1315065690014842e-25,0.00848874707211733
0.0,17782.794100389227,10000000000.0,1.2682278135883117e-25,1.272843304178096e-25,0.0036393229515485626
0.0,23713.737056616552,10000000000.0,1.4777247517965148e-25,1.4733279785787022e-25,-0.002975366835039739
0.0,31622.776601683792,10000000000.0,1.7144743341827357e-25,1.7225391088855279e-25,0.004703934344188587
0.0,42169.65034285822,10000000000.0,1.9233342076950816e-25,1.9296650043434758e-25,0.0032915738840733066
0.0,56234.13251903491,10000000000.0,2.055014354868943e-25,2.0638915143083198e-25,0.0043197554403180405
0.0,74989.42093324558,10000000000.0,2.1047724365132986e-25,2.1144170566445484e-25,0.004582262654116986
0.0,100000.0,10000000000.0,2.0543762353366639e-25,2.0622018697436925e-25,0.003809250843356926
0.0,133352.1432163324,10000000000.0,1.8852973135946092e-25,1.8574423680351046e-25,-0.01477482907265959
0.0,177827.94100389228,10000000000.0,2.0255170234371356e-25,1.9645818597140238e-25,-0.030083757884053597
0.0,237137.37056616554,10000000000.0,2.2227886520279556e-25,2.168983771030599e-25,-0.02420602649211301
0.0,316227.7660168379,10000000000.0,2.076126967055303e-25,2.03948051770971e-25,-0.017651352700057132
0.0,421696.5034285822,10000000000.0,1.7728953160435002e-25,1.74885962609898e-25,-0.013557309180645682
0.0,562341.3251903491,10000000000.0,1.525993658740438e-25,1.5091555442978287e-25,-0.01103419686324747
0.0,749894.2093324559,10000000000.0,1.3136647219362524e-25,1.303734441394785e-25,-0.007559219925485139
0.0,1000000.0,10000000000.0,1.393998009575278e-25,1.3875056490569165e-25,-0.004657367136657209
0.0,1000.0,100000000000000.0,7.072348523066559e-25,7.13744337900527e-25,0.009204135758638321
0.0,1333.521432163324,100000000000000.0,7.583129866060201e-25,7.491097930260364e-25,-0.012136405076186851
0.0,1778.2794100389228,100000000000000.0,8.222226888033736e-25,8.1978947949286125e-25,-0.0029593069415946305
