solver,component,band,frequency_hz,time_s,flux_mjy
fullhide_1d,total,10 GHz,1.000000000000e+10,6.464371632490e+04,1.086308874091e-25
fullhide_1d,total,10 GHz,1.000000000000e+10,7.847599703515e+04,1.029550802481e-25
fullhide_1d,total,10 GHz,1.000000000000e+10,9.526807029020e+04,9.755653437515e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,1.156532641790e+05,9.318173454510e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,1.404004245548e+05,8.942294738181e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,1.704429127453e+05,8.660511481196e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,2.069138081115e+05,8.619784430818e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,2.511886431510e+05,8.691881093664e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,3.049372829387e+05,9.003201503340e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,3.701869055846e+05,9.298067813749e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,4.493984590722e+05,9.628294207257e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,5.455594781169e+05,9.824683675407e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,6.622967617148e+05,9.772357544319e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,8.040131611168e+05,9.625598857574e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,9.760536373079e+05,9.567628491861e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,1.184906851001e+06,9.683489481255e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,1.438449888288e+06,9.853697234576e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,1.746245352002e+06,9.900566340365e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,2.119902023850e+06,9.760599590473e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,2.573512700017e+06,9.487989124353e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,3.124185713603e+06,9.089512084210e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,3.792690190732e+06,8.438097825085e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,4.604239376759e+06,7.591653477949e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,5.589441576403e+06,6.623343300928e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,6.785454573394e+06,5.585662903929e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,8.237387069571e+06,4.585968315822e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,1.000000000000e+07,3.690709400119e-26
fullhide_1d,total,R band,4.560000000000e+14,1.000000000000e-01,4.644880234613e-29
fullhide_1d,total,R band,4.560000000000e+14,1.213977189070e-01,7.773744541631e-29
fullhide_1d,total,R band,4.560000000000e+14,1.473740615582e-01,1.341398111259e-28
fullhide_1d,total,R band,4.560000000000e+14,1.789087489923e-01,2.385281770808e-28
fullhide_1d,total,R band,4.560000000000e+14,2.171911402017e-01,4.331185153960e-28
