scenario,band,nu_hz,count,p10,p50,p90,min,max
ISM,10GHz,1.00000000e+10,80,9.90200897e-01,1.00584166e+00,1.05597693e+00,9.79448813e-01,1.07566412e+00
ISM,Rband,4.60000000e+14,80,9.32392084e-01,9.56184634e-01,1.06773300e+00,9.19106124e-01,1.07576983e+00
ISM,1keV,2.41798900e+17,80,8.66524366e-01,8.92342448e-01,9.20492648e-01,8.54684339e-01,9.39701051e-01
ISM,100MeV,2.41798900e+22,80,1.28125799e+00,1.32070079e+00,2.16735689e+00,1.21695647e+00,2.44659489e+00
WIND,10GHz,1.00000000e+10,80,1.00775859e+00,1.05653349e+00,1.33982394e+00,9.42085232e-01,1.60358170e+00
WIND,Rband,4.60000000e+14,80,9.21222340e-01,9.22956020e-01,1.05186135e+00,9.18699193e-01,1.05347506e+00
WIND,1keV,2.41798900e+17,80,8.61265428e-01,8.85262643e-01,9.08707482e-01,8.59638289e-01,9.14328551e-01
WIND,100MeV,2.41798900e+22,80,1.21048947e+00,1.39726894e+00,2.07068066e+00,1.10454829e+00,2.09865332e+00
