component,band,peak_fullhide,t_peak_fullhide_s,peak_dg,t_peak_dg_s,peak_ratio_dg_over_fullhide
sync,1 GHz,5.0630483336712866e-27,9.3015100387466464e+02,5.7334122445082647e-27,1.0444025524245699e+03,1.1324032216676250e+00
sync,1e14 Hz,5.1160923536478444e-25,1.4362588058302041e+01,6.4155942095989033e-25,1.4362588058302041e+01,1.2540028142815867e+00
sync,1e17 Hz,4.1472511000575799e-27,1.4362588058302041e+01,3.9358170024256294e-27,1.4362588058302041e+01,9.4901825509696891e-01
ssc,1 GHz,1.5215338684278067e-36,5.8518825019695134e+02,1.2388076111820760e-36,6.5706761548248312e+02,8.1418339537990680e-01
ssc,1e14 Hz,1.4739202707190841e-31,1.4362588058302041e+01,1.3819860030915397e-31,1.4362588058302041e+01,9.3762602397571182e-01
ssc,1e17 Hz,6.7321439530332108e-31,1.4362588058302041e+01,7.5628813920329975e-31,1.4362588058302041e+01,1.1233986445915929e+00
total,1 GHz,5.0630483351423226e-27,9.3015100387466464e+02,5.7334122457054330e-27,1.0444025524245699e+03,1.1324032215750646e+00
total,1e14 Hz,5.1160938275681153e-25,1.4362588058302041e+01,6.4155955915849062e-25,1.4362588058302041e+01,1.2540027231350634e+00
total,1e17 Hz,4.1479243144528835e-27,1.4362588058302041e+01,3.9365732905648325e-27,1.4362588058302041e+01,9.4904655729815834e-01
