endpoint,radius_cm,rho_g_cm3,proton_equivalent_n_cm3,velocity_cm_s
asgard_r0,1.000000000000e+13,4.739280527625e-14,2.833443984263e+10,1.800000000000e+08
pion_wind_injection_radius,1.320000000000e+16,2.719972754606e-20,1.626173085550e+04,1.800000000000e+08
