cell_index,radius_cm,rho_g_cm3,proton_equivalent_n_cm3,velocity_cm_s,temperature_k,wind1_tracer
70,2.333935546875e+16,8.703784072610e-21,5.203676903510e+03,1.800000638890e+08,1.594899944835e+03,1.000000000000e+00
71,2.367041015625e+16,8.459935836028e-21,5.057888884635e+03,1.800000806316e+08,1.596497151302e+03,1.000000000000e+00
72,2.400146484375e+16,8.227854241665e-21,4.919135714492e+03,1.800000974417e+08,1.598448120821e+03,1.000000000000e+00
73,2.433251953125e+16,8.009325524411e-21,4.788485318154e+03,1.800001143050e+08,1.598418415005e+03,1.000000000000e+00
74,2.466357421875e+16,7.791056150942e-21,4.657989974061e+03,1.800001311755e+08,1.599426309606e+03,1.000000000000e+00
75,2.499462890625e+16,7.590596821898e-21,4.538142609749e+03,1.800001482503e+08,1.599278560370e+03,1.000000000000e+00
76,2.532568359375e+16,7.391119678538e-21,4.418882458644e+03,1.800001653482e+08,1.598543729037e+03,1.000000000000e+00
77,2.565673828125e+16,7.200412462671e-21,4.304865529196e+03,1.800001824886e+08,1.598815678388e+03,1.000000000000e+00
78,2.598779296875e+16,7.022385996200e-21,4.198429960016e+03,1.800002107886e+08,1.596231968788e+03,1.000000000000e+00
79,2.631884765625e+16,6.749009377660e-21,4.034987992248e+03,1.800001827300e+08,1.592183700552e+03,1.000000000000e+00
80,2.664990234375e+16,6.750563395584e-21,4.035917083217e+03,1.798803235281e+08,2.301798392382e+03,1.000000000000e+00
81,2.698095703125e+16,9.323788811548e-20,5.574355255956e+04,1.264020328581e+08,3.718564644725e+05,1.000000000000e+00
