knot_index,source,source_cell_index,radius_cm,rho_g_cm3,proton_equivalent_n_cm3
79,pion_raw,179,5.942431640625e+16,1.463298764215e-20,8.748532728701e+03
80,pion_raw,181,6.008642578125e+16,1.816935311966e-20,1.086279742142e+04
81,pion_raw,182,6.041748046875e+16,2.013409917562e-20,1.203744784787e+04
82,pion_raw,183,6.074853515625e+16,2.183353905754e-20,1.305348133269e+04
83,pion_raw,184,6.107958984375e+16,2.323720685729e-20,1.389268341409e+04
84,pion_raw,185,6.141064453125e+16,2.436713986068e-20,1.456822938619e+04
85,pion_raw,186,6.174169921875e+16,2.524624218462e-20,1.509381279000e+04
86,pion_raw,187,6.207275390625e+16,2.590179813920e-20,1.548574592521e+04
87,pion_raw,188,6.240380859375e+16,2.636473903232e-20,1.576252149927e+04
88,pion_raw,189,6.273486328125e+16,2.666801068439e-20,1.594383662362e+04
89,pion_raw,191,6.339697265625e+16,2.692860489128e-20,1.609963645094e+04
90,pion_raw,193,6.405908203125e+16,2.694788893343e-20,1.611116568052e+04
91,pion_raw,195,6.472119140625e+16,2.683021835581e-20,1.604081470882e+04
92,pion_raw,197,6.538330078125e+16,2.644440737644e-20,1.581015231350e+04
93,pion_raw,201,6.670751953125e+16,2.511546876128e-20,1.501562810194e+04
94,pion_raw,207,6.869384765625e+16,2.361987246775e-20,1.412146530738e+04
95,pion_raw,1023,3.388344726562e+17,9.695875746300e-22,5.796812542616e+02
