shell_index,tobs_s,radius_cm,gamma,fullhide_gamma2_dndgamma,dg_gamma2_dndgamma,dg_over_fullhide
1,2.3650391685e-01,1.0198243832e+14,1.3005398004e+03,5.3958785598e+43,6.7898289433e+43,1.2583361297e+00
1,2.3650391685e-01,1.0198243832e+14,1.5307320834e+03,5.0539542587e+43,6.3763525654e+43,1.2616561684e+00
1,2.3650391685e-01,1.0198243832e+14,1.8016678231e+03,4.7338947755e+43,5.9560930753e+43,1.2581802845e+00
1,2.3650391685e-01,1.0198243832e+14,2.1205585093e+03,4.4342616288e+43,5.5746291286e+43,1.2571719026e+00
1,2.3650391685e-01,1.0198243832e+14,2.4958920471e+03,4.1537191226e+43,5.2413125452e+43,1.2618360536e+00
1,2.3650391685e-01,1.0198243832e+14,2.9376586798e+03,3.8910253972e+43,4.8978547850e+43,1.2587568276e+00
1,2.3650391685e-01,1.0198243832e+14,3.4576168986e+03,3.6450245509e+43,4.5795867300e+43,1.2563939326e+00
1,2.3650391685e-01,1.0198243832e+14,4.0696064181e+03,3.4146396611e+43,4.2867978926e+43,1.2554173553e+00
1,2.3650391685e-01,1.0198243832e+14,4.7899165476e+03,3.1988665654e+43,4.0197027152e+43,1.2566021849e+00
1,2.3650391685e-01,1.0198243832e+14,5.6377197636e+03,2.9967682878e+43,3.7678735363e+43,1.2573122693e+00
1,2.3650391685e-01,1.0198243832e+14,6.6355820225e+03,2.8074700185e+43,3.5349511386e+43,1.2591233799e+00
1,2.3650391685e-01,1.0198243832e+14,7.8100633987e+03,2.6301545701e+43,3.3149024261e+43,1.2603451006e+00
1,2.3650391685e-01,1.0198243832e+14,9.1924250329e+03,2.4640582474e+43,3.1054714253e+43,1.2603076362e+00
1,2.3650391685e-01,1.0198243832e+14,1.0819461209e+04,2.3084670791e+43,2.9093470855e+43,1.2602939465e+00
1,2.3650391685e-01,1.0198243832e+14,1.2734478709e+04,2.1627133675e+43,2.7268085943e+43,1.2608275490e+00
1,2.3650391685e-01,1.0198243832e+14,1.4988449502e+04,2.0261725198e+43,2.5547340992e+43,1.2608670161e+00
1,2.3650391685e-01,1.0198243832e+14,1.7641367474e+04,1.8982601303e+43,2.3920466535e+43,1.2601258465e+00
1,2.3650391685e-01,1.0198243832e+14,2.0763845273e+04,1.7784292865e+43,2.2399433959e+43,1.2595065842e+00
1,2.3650391685e-01,1.0198243832e+14,2.4438993811e+04,1.6661680784e+43,2.0961103782e+43,1.2580425740e+00
1,2.3650391685e-01,1.0198243832e+14,2.8764634423e+04,1.5609972896e+43,1.9594172500e+43,1.2552342423e+00
1,2.3650391685e-01,1.0198243832e+14,3.3855902575e+04,1.4624682548e+43,1.8369192875e+43,1.2560404518e+00
1,2.3650391685e-01,1.0198243832e+14,3.9848312421e+04,1.3701608688e+43,1.7195684856e+43,1.2550121119e+00
1,2.3650391685e-01,1.0198243832e+14,4.6901363782e+04,1.2836817341e+43,1.6170053173e+43,1.2596621688e+00
1,2.3650391685e-01,1.0198243832e+14,5.5202787544e+04,1.2026624350e+43,1.5147435073e+43,1.2594918269e+00
1,2.3650391685e-01,1.0198243832e+14,6.4973542493e+04,1.1267579295e+43,1.4167460771e+43,1.2573650826e+00
1,2.3650391685e-01,1.0198243832e+14,7.6473696562e+04,1.0556450493e+43,1.3290354931e+43,1.2589795159e+00
1,2.3650391685e-01,1.0198243832e+14,9.0009349060e+04,9.8902109837e+42,1.2470752191e+43,1.2609187217e+00
1,2.3650391685e-01,1.0198243832e+14,1.0594077810e+05,9.2660254576e+42,1.1667374550e+43,1.2591563236e+00
1,2.3650391685e-01,1.0198243832e+14,1.2469203013e+05,8.6812380291e+42,1.0907309106e+43,1.2564232278e+00
1,2.3650391685e-01,1.0198243832e+14,1.4676220674e+05,8.1333608132e+42,1.0223386066e+43,1.2569694498e+00
1,2.3650391685e-01,1.0198243832e+14,1.7273874926e+05,7.6200632418e+42,9.5934092999e+42,1.2589671497e+00
1,2.3650391685e-01,1.0198243832e+14,2.0331307466e+05,7.1391620715e+42,8.9746808736e+42,1.2571056356e+00
1,2.3650391685e-01,1.0198243832e+14,2.3929897897e+05,6.6886120345e+42,8.3778103916e+42,1.2525484134e+00
1,2.3650391685e-01,1.0198243832e+14,2.8165429809e+05,6.2664970906e+42,7.8534373905e+42,1.2532420070e+00
1,2.3650391685e-01,1.0198243832e+14,3.3150640247e+05,5.8710222387e+42,7.3917055880e+42,1.2590150893e+00
1,2.3650391685e-01,1.0198243832e+14,3.9018220430e+05,5.5005058524e+42,6.9252631718e+42,1.2590229622e+00
1,2.3650391685e-01,1.0198243832e+14,4.5924347590e+05,5.1533725093e+42,6.4836897687e+42,1.2581449831e+00
1,2.3650391685e-01,1.0198243832e+14,5.4052841937e+05,4.8281462562e+42,6.0750624601e+42,1.2582598243e+00
1,2.3650391685e-01,1.0198243832e+14,6.3620059397e+05,4.5234443342e+42,5.6949226802e+42,1.2589792776e+00
1,2.3650391685e-01,1.0198243832e+14,7.4880650353e+05,4.2379712812e+42,5.3367147479e+42,1.2592616594e+00
1,2.3650391685e-01,1.0198243832e+14,8.8134337667e+05,3.9705134138e+42,5.0025833028e+42,1.2599336109e+00
1,2.3650391685e-01,1.0198243832e+14,1.0373389440e+06,3.7199336593e+42,4.6700182526e+42,1.2554036390e+00
1,2.3650391685e-01,1.0198243832e+14,1.2209453354e+06,3.4851667149e+42,4.3657546573e+42,1.2526673799e+00
1,2.3650391685e-01,1.0198243832e+14,1.4370495977e+06,3.2652145134e+42,4.0991385505e+42,1.2553964016e+00
1,2.3650391685e-01,1.0198243832e+14,1.6914037724e+06,3.0591419760e+42,3.8480031253e+42,1.2578700680e+00
1,2.3650391685e-01,1.0198243832e+14,1.9907779982e+06,2.8660730335e+42,3.5996648566e+42,1.2559571282e+00
1,2.3650391685e-01,1.0198243832e+14,2.3431407110e+06,2.6851868995e+42,3.3686575051e+42,1.2545337182e+00
1,2.3650391685e-01,1.0198243832e+14,2.7578707404e+06,2.5157145780e+42,3.1658524607e+42,1.2584307013e+00
1,2.3650391685e-01,1.0198243832e+14,3.2460069448e+06,2.3569355929e+42,2.9738139498e+42,1.2617289835e+00
