shell_index,tobs_s,radius_cm,dg_active_count,dg_turns,dg_max_curvature_dex,dg_max_adjacent_dex,median_ratio_active
1,0.2365039168463232,101982438324176.31,121,1,0.7217107231684423,0.5685914886085186,1.2590150892937912
16,0.35644313427019236,153586007788953.38,121,1,0.6094487847329688,0.5761664287612547,2.5193917098638323
32,6.705105140781756,2868019844422526.0,121,1,0.6242511213873883,0.6036970440045764,4.403934937843424
48,340.92541799844156,1.158031919959702e+17,121,1,0.21829303938643108,0.5446521569303258,1.33006801758157
63,14000.2335123802,6.876842165668641e+17,94,4,0.750903457223977,0.9570613893704731,1.0003506255754093
