scenario,band,nu_hz,count,p10,p50,p90,min,max
ism,10GHz,1.00000000e+10,80,1.03343157e+00,1.03963763e+00,1.04632243e+00,1.01177550e+00,1.05383382e+00
ism,Rband,4.60000000e+14,80,9.21653510e-01,9.43317846e-01,1.06290964e+00,9.12658239e-01,1.06552294e+00
ism,1keV,2.41798900e+17,80,8.42614398e-01,8.63379035e-01,8.92303409e-01,8.38138850e-01,9.07780254e-01
ism,100MeV,2.41798900e+22,80,8.34484317e-01,8.55756824e-01,8.78557222e-01,8.31060149e-01,8.80911488e-01
wind,10GHz,1.00000000e+10,80,1.01124961e+00,1.04069365e+00,1.30018782e+00,9.45754981e-01,1.73551469e+00
wind,Rband,4.60000000e+14,80,9.21689062e-01,9.24497906e-01,1.05357412e+00,9.19636557e-01,1.05590189e+00
wind,1keV,2.41798900e+17,80,8.55533682e-01,8.81780128e-01,9.07041812e-01,8.53882921e-01,9.15472416e-01
wind,100MeV,2.41798900e+22,80,8.42165713e-01,8.61898491e-01,9.54677495e-01,8.35410771e-01,9.64828359e-01
