scenario,band,nu_hz,count,p10,p50,p90,min,max
ISM continuous jumps,10GHz,1.00000000e+10,96,8.91497876e-01,1.00051222e+00,1.04493016e+00,8.73318264e-01,1.07201799e+00
ISM continuous jumps,Rband,4.60000000e+14,96,8.94196166e-01,9.69729928e-01,1.06863001e+00,8.75105731e-01,1.09335644e+00
ISM continuous jumps,1keV,2.41798900e+17,96,8.66339648e-01,9.39554976e-01,1.10646261e+00,8.55055867e-01,1.19427943e+00
ISM continuous jumps,100MeV,2.41798900e+22,96,1.01295315e+00,1.08957488e+00,1.49814180e+00,9.83993315e-01,1.96149088e+00
Wind-ISM jump,10GHz,1.00000000e+10,96,9.51318629e-01,1.08354909e+00,1.64437135e+00,6.23167686e-01,1.70490949e+00
Wind-ISM jump,Rband,4.60000000e+14,96,9.21449076e-01,1.03816491e+00,1.59759915e+00,9.18465308e-01,1.82314837e+00
Wind-ISM jump,1keV,2.41798900e+17,96,8.53750169e-01,8.78397205e-01,1.28078367e+00,7.82768534e-01,1.60697987e+00
Wind-ISM jump,100MeV,2.41798900e+22,96,1.12554504e+00,1.40116051e+00,1.65481263e+00,5.71878851e-01,1.92891437e+00
