scenario,solver,t_obs_s,nearest_track_time_s,nearest_radius_cm,gamma_e,dnde,gamma2_dnde
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.27537076e+04,7.12779283e+46,1.15938581e+55
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.54206511e+04,4.56358608e+46,1.08520470e+55
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.86452824e+04,2.81372138e+46,9.78180543e+54
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,2.25442203e+04,1.69125630e+46,8.59567264e+54
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,2.72584699e+04,9.99334300e+45,7.42529550e+54
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,3.29585220e+04,5.83699335e+45,6.34051677e+54
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,3.98505191e+04,3.38127434e+45,5.36967962e+54
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,4.81837101e+04,1.94547527e+45,4.51675142e+54
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,5.82594650e+04,1.11215224e+45,3.77482851e+54
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,7.04421733e+04,6.31635585e+44,3.13423880e+54
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,8.51724228e+04,3.56401567e+44,2.58545872e+54
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.02982933e+05,1.99835755e+44,2.11935499e+54
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.24517821e+05,1.11383660e+44,1.72696885e+54
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.50555895e+05,6.17417948e+43,1.39950605e+54
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.82038823e+05,3.40536406e+43,1.12847408e+54
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,2.20105185e+05,1.86981425e+43,9.05855682e+53
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,2.66131651e+05,1.02259096e+43,7.24260845e+53
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,3.21782768e+05,5.57288668e+42,5.77039813e+53
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,3.89071158e+05,3.02788943e+42,4.58350900e+53
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,4.70430306e+05,1.64094951e+42,3.63149795e+53
