scenario,t_obs_s,gamma_e,ratio_dg_to_fullhide
multi_density_jump,1.00000000e+03,1.69413956e+08,7.22636384e-01
multi_density_jump,1.00000000e+03,2.04840317e+08,7.01358639e-01
multi_density_jump,1.00000000e+03,2.47674727e+08,6.76772504e-01
multi_density_jump,1.00000000e+03,2.99466294e+08,6.48802293e-01
multi_density_jump,1.00000000e+03,3.62088059e+08,6.17447331e-01
multi_density_jump,1.00000000e+03,4.37804738e+08,5.82784706e-01
multi_density_jump,1.00000000e+03,5.29354624e+08,5.44981332e-01
multi_density_jump,1.00000000e+03,6.40048621e+08,5.04316675e-01
multi_density_jump,1.00000000e+03,7.73889975e+08,4.61212276e-01
multi_density_jump,1.00000000e+03,9.35719058e+08,4.16259619e-01
multi_density_jump,1.00000000e+03,1.13138842e+09,3.70234472e-01
multi_density_jump,1.00000000e+03,1.36797444e+09,3.24085346e-01
multi_density_jump,1.00000000e+03,1.65403326e+09,2.78882854e-01
multi_density_jump,1.00000000e+03,1.99991019e+09,2.35726905e-01
multi_density_jump,1.00000000e+03,2.41811387e+09,1.95444606e-01
multi_density_jump,1.00000000e+03,2.92376863e+09,3.00635442e-01
multi_density_jump,1.00000000e+03,3.53516149e+09,4.92041086e+01
multi_density_jump,1.00000000e+03,4.27440345e+09,1.01261493e-01
multi_density_jump,1.00000000e+03,5.16822921e+09,
multi_density_jump,1.00000000e+03,6.24896397e+09,
multi_density_jump,1.00000000e+03,7.55569251e+09,
multi_density_jump,1.00000000e+03,9.13567266e+09,
multi_density_jump,1.00000000e+03,1.10460444e+10,8.01474284e-02
multi_density_jump,1.00000000e+03,1.33558963e+10,1.66620590e+08
multi_density_jump,1.00000000e+03,1.61487642e+10,3.25238532e+18
multi_density_jump,1.00000000e+03,1.95256522e+10,
multi_density_jump,1.00000000e+03,2.36086853e+10,1.69438686e+40
multi_density_jump,1.00000000e+05,3.00000000e+00,5.42017125e+00
multi_density_jump,1.00000000e+05,3.62733369e+00,
multi_density_jump,1.00000000e+05,4.38584989e+00,
multi_density_jump,1.00000000e+05,5.30298036e+00,6.16244453e+00
multi_density_jump,1.00000000e+05,6.41189310e+00,
multi_density_jump,1.00000000e+05,7.75269195e+00,
multi_density_jump,1.00000000e+05,9.37386689e+00,1.34879984e+00
multi_density_jump,1.00000000e+05,1.13340477e+01,
multi_density_jump,1.00000000e+05,1.37041244e+01,
multi_density_jump,1.00000000e+05,1.65698107e+01,6.67077140e+00
multi_density_jump,1.00000000e+05,2.00347441e+01,1.75847647e+01
multi_density_jump,1.00000000e+05,2.42242341e+01,3.71062392e+01
multi_density_jump,1.00000000e+05,2.92897935e+01,1.99871673e+01
multi_density_jump,1.00000000e+05,3.54146182e+01,
multi_density_jump,1.00000000e+05,4.28202125e+01,
multi_density_jump,1.00000000e+05,5.17743998e+01,2.13822874e+01
multi_density_jump,1.00000000e+05,6.26010082e+01,4.68836382e+01
multi_density_jump,1.00000000e+05,7.56915820e+01,3.10075344e+01
multi_density_jump,1.00000000e+05,9.15195418e+01,
multi_density_jump,1.00000000e+05,1.10657306e+02,
multi_density_jump,1.00000000e+05,1.33796991e+02,2.72549108e+00
multi_density_jump,1.00000000e+05,1.61775444e+02,3.64272336e+00
multi_density_jump,1.00000000e+05,1.95604506e+02,2.28524130e+00
multi_density_jump,1.00000000e+05,2.36507605e+02,4.67055393e-01
multi_density_jump,1.00000000e+05,2.85964001e+02,
multi_density_jump,1.00000000e+05,3.45762284e+02,4.73076985e-02
multi_density_jump,1.00000000e+05,4.18065061e+02,1.56711087e-01
multi_density_jump,1.00000000e+05,5.05487160e+02,1.19538031e-01
multi_density_jump,1.00000000e+05,6.11190201e+02,
multi_density_jump,1.00000000e+05,7.38996935e+02,
multi_density_jump,1.00000000e+05,8.93529493e+02,8.74778804e-02
multi_density_jump,1.00000000e+05,1.08037654e+03,1.53659385e-01
multi_density_jump,1.00000000e+05,1.30629541e+03,1.13683698e+00
multi_density_jump,1.00000000e+05,1.57945645e+03,1.44157427e+00
multi_density_jump,1.00000000e+05,1.90973853e+03,1.12088017e+00
multi_density_jump,1.00000000e+05,2.30908630e+03,1.02656086e+00
multi_density_jump,1.00000000e+05,2.79194217e+03,9.73281819e-01
multi_density_jump,1.00000000e+05,3.37576863e+03,9.40503635e-01
multi_density_jump,1.00000000e+05,4.08167976e+03,9.22496490e-01
multi_density_jump,1.00000000e+05,4.93520484e+03,9.10739580e-01
multi_density_jump,1.00000000e+05,5.96721159e+03,9.04045559e-01
multi_density_jump,1.00000000e+05,7.21502254e+03,9.01028900e-01
multi_density_jump,1.00000000e+05,8.72376477e+03,8.99579486e-01
multi_density_jump,1.00000000e+05,1.05480019e+04,8.97988592e-01
multi_density_jump,1.00000000e+05,1.27537076e+04,8.96740751e-01
multi_density_jump,1.00000000e+05,1.54206511e+04,8.95597535e-01
multi_density_jump,1.00000000e+05,1.86452824e+04,8.94527619e-01
multi_density_jump,1.00000000e+05,2.25442203e+04,8.94013722e-01
multi_density_jump,1.00000000e+05,2.72584699e+04,8.94069552e-01
multi_density_jump,1.00000000e+05,3.29585220e+04,8.95052188e-01
multi_density_jump,1.00000000e+05,3.98505191e+04,8.96984222e-01
multi_density_jump,1.00000000e+05,4.81837101e+04,8.99905703e-01
multi_density_jump,1.00000000e+05,5.82594650e+04,9.03757977e-01
multi_density_jump,1.00000000e+05,7.04421733e+04,9.08640534e-01
