scenario,t_obs_s,gamma_e,ratio_dg_to_fullhide
wind,1.00000000e+03,7.08973423e+07,8.14063449e-01
wind,1.00000000e+03,8.47707130e+07,7.93610195e-01
wind,1.00000000e+03,1.01358860e+08,7.61411047e-01
wind,1.00000000e+03,1.21193017e+08,7.46369079e-01
wind,1.00000000e+03,1.44908373e+08,7.30009316e-01
wind,1.00000000e+03,1.73264409e+08,7.10762144e-01
wind,1.00000000e+03,2.07169225e+08,6.88872778e-01
wind,1.00000000e+03,2.47708621e+08,6.63917167e-01
wind,1.00000000e+03,2.96180869e+08,6.35957012e-01
wind,1.00000000e+03,3.54138289e+08,6.04998828e-01
wind,1.00000000e+03,4.23436963e+08,5.71120651e-01
wind,1.00000000e+03,5.06296175e+08,5.34486905e-01
wind,1.00000000e+03,6.05369488e+08,4.95368287e-01
wind,1.00000000e+03,7.23829716e+08,4.54163370e-01
wind,1.00000000e+03,8.65470541e+08,4.11415852e-01
wind,1.00000000e+03,1.03482800e+09,3.67819368e-01
wind,1.00000000e+03,1.23732575e+09,3.24201428e-01
wind,1.00000000e+03,1.47944878e+09,2.81481515e-01
wind,1.00000000e+03,1.76895104e+09,2.40602369e-01
wind,1.00000000e+03,2.11510385e+09,2.02415431e-01
wind,1.00000000e+03,2.52899270e+09,1.63085102e-01
wind,1.00000000e+03,3.02387237e+09,
wind,1.00000000e+03,3.61559135e+09,1.10933172e-01
wind,1.00000000e+03,4.32309938e+09,
wind,1.00000000e+03,5.16905437e+09,
wind,1.00000000e+03,6.18054797e+09,
wind,1.00000000e+05,3.00000000e+00,
wind,1.00000000e+05,3.58704757e+00,5.13645493e-01
wind,1.00000000e+05,4.28897008e+00,
wind,1.00000000e+05,5.12824657e+00,1.47679131e+00
wind,1.00000000e+05,6.13175479e+00,8.18579116e+00
wind,1.00000000e+05,7.33163203e+00,7.25775957e+00
wind,1.00000000e+05,8.76630428e+00,1.99800013e+00
wind,1.00000000e+05,1.04817168e+01,
wind,1.00000000e+05,1.25328056e+01,2.16796723e-02
wind,1.00000000e+05,1.49852566e+01,2.56960914e-04
wind,1.00000000e+05,1.79176094e+01,
wind,1.00000000e+05,2.14237724e+01,1.33733178e-02
wind,1.00000000e+05,2.56160302e+01,1.52806323e-02
wind,1.00000000e+05,3.06286397e+01,6.20389476e-02
wind,1.00000000e+05,3.66221291e+01,1.03805633e-01
wind,1.00000000e+05,4.37884397e+01,1.93305743e-01
wind,1.00000000e+05,5.23570720e+01,2.66836604e-01
wind,1.00000000e+05,6.26024360e+01,3.35462795e-01
wind,1.00000000e+05,7.48526385e+01,3.86983439e-01
wind,1.00000000e+05,8.94999916e+01,4.15620883e-01
wind,1.00000000e+05,1.07013576e+02,4.17631281e-01
wind,1.00000000e+05,1.27954262e+02,4.25156067e-01
wind,1.00000000e+05,1.52992675e+02,4.14426790e-01
wind,1.00000000e+05,1.82930667e+02,3.97334555e-01
wind,1.00000000e+05,2.18727002e+02,4.02002016e-01
wind,1.00000000e+05,2.61528053e+02,3.72904368e-01
wind,1.00000000e+05,3.12704522e+02,3.67234949e-01
wind,1.00000000e+05,3.73895332e+02,3.70540972e-01
wind,1.00000000e+05,4.47060114e+02,3.61825171e-01
wind,1.00000000e+05,5.34541964e+02,4.24207685e-01
wind,1.00000000e+05,6.39142484e+02,4.95366400e-01
wind,1.00000000e+05,7.64211498e+02,8.05092795e-01
wind,1.00000000e+05,9.13754331e+02,9.82844408e-01
wind,1.00000000e+05,1.09256008e+03,1.13102140e+00
wind,1.00000000e+05,1.30635500e+03,1.26206284e+00
wind,1.00000000e+05,1.56198584e+03,1.45817529e+00
wind,1.00000000e+05,1.86763917e+03,1.31192944e+00
wind,1.00000000e+05,2.23310351e+03,9.80497160e-01
wind,1.00000000e+05,2.67008283e+03,9.24461284e-01
wind,1.00000000e+05,3.19257138e+03,9.14656263e-01
wind,1.00000000e+05,3.81730180e+03,9.14753507e-01
wind,1.00000000e+05,4.56428104e+03,9.14543085e-01
wind,1.00000000e+05,5.45743107e+03,9.14417152e-01
wind,1.00000000e+05,6.52535495e+03,9.14527966e-01
wind,1.00000000e+05,7.80225286e+03,9.14603730e-01
wind,1.00000000e+05,9.32901738e+03,9.14616383e-01
wind,1.00000000e+05,1.11545430e+04,9.14400938e-01
wind,1.00000000e+05,1.33372921e+04,9.14215355e-01
wind,1.00000000e+05,1.59471671e+04,9.14036234e-01
wind,1.00000000e+05,1.90677490e+04,9.13735597e-01
wind,1.00000000e+05,2.27989742e+04,9.13351784e-01
wind,1.00000000e+05,2.72603350e+04,9.12851356e-01
wind,1.00000000e+05,3.25947061e+04,9.12231329e-01
wind,1.00000000e+05,3.89729204e+04,9.11470748e-01
wind,1.00000000e+05,4.65992398e+04,9.10501374e-01
wind,1.00000000e+05,5.57178966e+04,9.09295413e-01
wind,1.00000000e+05,6.66209151e+04,9.07972773e-01
wind,1.00000000e+05,7.96574638e+04,9.06426864e-01
wind,1.00000000e+05,9.52450372e+04,9.04500538e-01
wind,1.00000000e+05,1.13882826e+05,9.02343378e-01
wind,1.00000000e+05,1.36167705e+05,9.00222737e-01
wind,1.00000000e+05,1.62813345e+05,8.97810913e-01
wind,1.00000000e+05,1.94673071e+05,8.95081278e-01
wind,1.00000000e+05,2.32767189e+05,8.91930108e-01
wind,1.00000000e+05,2.78315659e+05,8.88325100e-01
wind,1.00000000e+05,3.32777169e+05,8.84566179e-01
wind,1.00000000e+05,3.97895845e+05,8.80955364e-01
wind,1.00000000e+05,4.75757108e+05,8.76849532e-01
wind,1.00000000e+05,5.68854459e+05,8.72992456e-01
wind,1.00000000e+05,6.80169334e+05,8.68800432e-01
wind,1.00000000e+05,8.13266585e+05,8.64334981e-01
wind,1.00000000e+05,9.72408642e+05,8.60442386e-01
wind,1.00000000e+05,1.16269202e+06,8.56609131e-01
wind,1.00000000e+05,1.39021052e+06,8.52560536e-01
wind,1.00000000e+05,1.66225043e+06,8.48530945e-01
wind,1.00000000e+05,1.98752378e+06,8.44880724e-01
wind,1.00000000e+05,2.37644745e+06,8.42600562e-01
wind,1.00000000e+05,2.84147668e+06,8.40470913e-01
wind,1.00000000e+05,3.39750400e+06,8.38397356e-01
wind,1.00000000e+05,4.06233616e+06,8.36479817e-01
wind,1.00000000e+05,4.85726434e+06,8.34812549e-01
wind,1.00000000e+05,5.80774608e+06,8.33453415e-01
wind,1.00000000e+05,6.94422048e+06,8.32426211e-01
wind,1.00000000e+05,8.30308306e+06,8.31729886e-01
wind,1.00000000e+05,9.92785130e+06,8.31351595e-01
wind,1.00000000e+05,1.18705583e+07,8.31275154e-01
wind,1.00000000e+05,1.41934191e+07,8.31484054e-01
wind,1.00000000e+05,1.69708231e+07,8.31961586e-01
wind,1.00000000e+05,2.02917166e+07,8.32689862e-01
wind,1.00000000e+05,2.42624509e+07,8.33648265e-01
wind,1.00000000e+05,2.90101884e+07,8.34811337e-01
wind,1.00000000e+05,3.46869753e+07,8.36146045e-01
wind,1.00000000e+05,4.14746101e+07,8.37608286e-01
wind,1.00000000e+05,4.95904664e+07,8.39138507e-01
wind,1.00000000e+05,5.92944540e+07,8.40656249e-01
wind,1.00000000e+05,7.08973423e+07,8.42053304e-01
wind,1.00000000e+05,8.47707130e+07,8.43185102e-01
wind,1.00000000e+05,1.01358860e+08,8.43859740e-01
wind,1.00000000e+05,1.21193017e+08,8.43823464e-01
wind,1.00000000e+05,1.44908373e+08,8.42740315e-01
wind,1.00000000e+05,1.73264409e+08,8.40161479e-01
wind,1.00000000e+05,2.07169225e+08,8.35473975e-01
wind,1.00000000e+05,2.47708621e+08,8.27803691e-01
wind,1.00000000e+05,2.96180869e+08,8.15807092e-01
wind,1.00000000e+05,3.54138289e+08,7.97153258e-01
wind,1.00000000e+05,4.23436963e+08,7.67034953e-01
wind,1.00000000e+05,5.06296175e+08,7.47217239e-01
wind,1.00000000e+05,6.05369488e+08,7.31641087e-01
wind,1.00000000e+05,7.23829716e+08,7.13103191e-01
wind,1.00000000e+05,8.65470541e+08,6.91953376e-01
wind,1.00000000e+05,1.03482800e+09,6.68023945e-01
wind,1.00000000e+05,1.23732575e+09,6.41203402e-01
wind,1.00000000e+05,1.47944878e+09,6.11427171e-01
wind,1.00000000e+05,1.76895104e+09,5.78697686e-01
wind,1.00000000e+05,2.11510385e+09,5.43108719e-01
wind,1.00000000e+05,2.52899270e+09,5.04871001e-01
wind,1.00000000e+05,3.02387237e+09,4.64333639e-01
wind,1.00000000e+05,3.61559135e+09,4.21983068e-01
wind,1.00000000e+05,4.32309938e+09,3.78285801e-01
wind,1.00000000e+05,5.16905437e+09,3.31738869e-01
wind,1.00000000e+05,6.18054797e+09,1.79663450e-01
wind,1.00000000e+07,3.00000000e+00,4.11956790e-02
wind,1.00000000e+07,3.58704757e+00,5.91997714e-02
wind,1.00000000e+07,4.28897008e+00,9.55640025e-02
wind,1.00000000e+07,5.12824657e+00,1.22483193e-01
