scenario,t_obs_s,band,count,p10,p50,p90,min,max
multi_density_jump,1.00000000e+03,main,70,5.03393079e-01,8.23577259e-01,8.78127561e-01,2.82917320e-02,1.35464789e+00
multi_density_jump,1.00000000e+03,high,57,3.51774821e-01,8.19174062e-01,8.37873377e-01,1.01261493e-01,4.92041086e+01
multi_density_jump,1.00000000e+05,main,73,7.87065413e-01,8.48866627e-01,9.18923470e-01,1.53659385e-01,1.44157427e+00
multi_density_jump,1.00000000e+05,high,61,3.91725928e-01,8.34929260e-01,8.76113495e-01,1.74641604e-01,9.18999704e-01
multi_density_jump,1.00000000e+07,main,73,8.10011572e-01,8.26196326e-01,9.75427997e-01,7.22976578e-01,1.00726515e+00
multi_density_jump,1.00000000e+07,high,61,5.64139464e-01,8.12423130e-01,8.29515698e-01,3.07990408e-01,8.36468423e-01
