scenario,band,ratio_p16,ratio_p50,ratio_p84,ratio_min,ratio_max
ism_continuous_jumps,10 GHz,9.28670198e-01,1.00160507e+00,1.03768610e+00,8.86392916e-01,1.06995644e+00
ism_continuous_jumps,R band,9.26768416e-01,9.68753460e-01,1.04778093e+00,8.88207933e-01,1.09135370e+00
ism_continuous_jumps,1 keV,8.72468690e-01,9.37800425e-01,1.03826899e+00,8.49877473e-01,1.19524654e+00
ism_continuous_jumps,100 MeV,8.45374632e-01,8.69775729e-01,9.54443137e-01,8.33478308e-01,1.00195869e+00
wind_ism_jump,10 GHz,1.03289426e+00,1.19647605e+00,1.71547500e+00,1.00199796e+00,1.83235685e+00
wind_ism_jump,R band,9.25507619e-01,1.03700656e+00,1.35078390e+00,9.16295297e-01,1.60248870e+00
wind_ism_jump,1 keV,8.49768096e-01,8.71090758e-01,1.01494730e+00,8.04202387e-01,1.50670456e+00
wind_ism_jump,100 MeV,8.59934408e-01,8.98435589e-01,9.43640836e-01,8.09490027e-01,9.93642915e-01
