case,solver,component,band,frequency_hz,time_s,flux_mjy
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,2.019589750164e+04,1.392817998011e-25
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,2.451735887979e+04,1.359062253748e-25
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,2.976351441631e+04,1.317583596810e-25
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,3.613222756796e+04,1.270702083121e-25
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,4.386370005780e+04,1.222287161120e-25
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,5.324953129838e+04,1.173793125608e-25
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,6.464371632490e+04,1.131225047306e-25
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,7.847599703515e+04,1.092083809414e-25
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,9.526807029020e+04,1.051469335027e-25
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,1.156532641790e+05,1.017250913403e-25
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,1.404004245548e+05,9.920940426597e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,1.704429127453e+05,9.657229859817e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,2.069138081115e+05,9.398928123632e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,2.511886431510e+05,9.261222776775e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,3.049372829387e+05,9.153667221292e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,3.701869055846e+05,9.018786239078e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,4.493984590722e+05,8.971842633793e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,5.455594781169e+05,8.984463492693e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,6.622967617148e+05,8.955209890028e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,8.040131611168e+05,8.998917448600e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,9.760536373079e+05,9.107253541053e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,1.184906851001e+06,9.140941459446e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,1.438449888288e+06,9.188348117961e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,1.746245352002e+06,9.220321639136e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,2.119902023850e+06,9.114073102798e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,2.573512700017e+06,8.948103779743e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,3.124185713603e+06,8.620337994896e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,3.792690190732e+06,8.046112430387e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,4.604239376759e+06,7.303066532921e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,5.589441576403e+06,6.415777771448e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,6.785454573394e+06,5.475327316326e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,8.237387069571e+06,4.565036496752e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,1.000000000000e+07,3.739090666717e-26
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.000000000000e-01,4.642209253060e-29
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.213977189070e-01,7.770269704709e-29
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.473740615582e-01,1.340934822169e-28
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.789087489923e-01,2.384646699163e-28
nojump,fullhide_1d,total,R band,4.560000000000e+14,2.171911402017e-01,4.330290878306e-28
nojump,fullhide_1d,total,R band,4.560000000000e+14,2.636650898730e-01,7.980309827925e-28
nojump,fullhide_1d,total,R band,4.560000000000e+14,3.200834046600e-01,1.486973443981e-27
nojump,fullhide_1d,total,R band,4.560000000000e+14,3.885739518571e-01,2.813806703041e-27
nojump,fullhide_1d,total,R band,4.560000000000e+14,4.717199138213e-01,5.360783025404e-27
nojump,fullhide_1d,total,R band,4.560000000000e+14,5.726572150092e-01,1.022544014126e-26
nojump,fullhide_1d,total,R band,4.560000000000e+14,6.951927961776e-01,1.930097429957e-26
nojump,fullhide_1d,total,R band,4.560000000000e+14,8.439481965654e-01,3.552564789361e-26
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.024533859387e+00,6.288605323409e-26
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.243760734726e+00,1.056244162198e-25
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.509897160618e+00,1.669617772261e-25
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.832980710832e+00,2.478074127890e-25
nojump,fullhide_1d,total,R band,4.560000000000e+14,2.225196770956e+00,3.446826743589e-25
